time	V(vtag)
1.459497559999935e+001	2.975965e+000
1.488794434999935e+001	2.976003e+000
1.518091309999935e+001	2.976028e+000
1.526461845714221e+001	2.976033e+000
1.534832381428507e+001	2.976038e+000
1.543202917142792e+001	2.976042e+000
1.551573452857078e+001	2.976046e+000
1.559943988571364e+001	2.976049e+000
1.568314524285649e+001	2.976052e+000
1.576685059999935e+001	2.976054e+000
1.586450684999935e+001	2.976057e+000
1.602672015714230e+001	2.976060e+000
1.618893346428525e+001	2.976062e+000
1.635114677142820e+001	2.976065e+000
1.651336007857115e+001	2.976067e+000
1.667557338571410e+001	2.976068e+000
1.683778669285705e+001	2.976069e+000
1.700000000000000e+001	2.976070e+000
1.700008000000000e+001	2.975323e+000
1.700024000000000e+001	2.972619e+000
1.700048000000000e+001	2.965050e+000
1.700080000000000e+001	2.950597e+000
1.700194285714285e+001	2.881459e+000
1.700308571428571e+001	2.812434e+000
1.700422857142857e+001	2.743522e+000
1.700537142857143e+001	2.674723e+000
1.700651428571429e+001	2.606037e+000
1.700765714285715e+001	2.537464e+000
1.700880000000000e+001	2.469003e+000
1.700902080000001e+001	2.458943e+000
1.700931520000003e+001	2.450678e+000
1.700960000000000e+001	2.446601e+000
1.706811347856993e+001	2.490308e+000
1.712662695713987e+001	2.531067e+000
1.718514043570980e+001	2.568876e+000
1.724365391427973e+001	2.603737e+000
1.730216739284967e+001	2.635649e+000
1.736068087141960e+001	2.664612e+000
1.741919434998953e+001	2.690626e+000
1.751685059998953e+001	2.730062e+000
1.761450684998953e+001	2.764050e+000
1.771216309998953e+001	2.793342e+000
1.780981934998953e+001	2.818588e+000
1.790747559998953e+001	2.840345e+000
1.800513184998953e+001	2.859097e+000
1.810278809998953e+001	2.875257e+000
1.820044434998953e+001	2.889186e+000
1.829810059998953e+001	2.901190e+000
1.839575684998953e+001	2.911535e+000
1.849341309998953e+001	2.920451e+000
1.859106934998953e+001	2.928136e+000
1.868872559998953e+001	2.934758e+000
1.878638184998953e+001	2.940466e+000
1.888403809998953e+001	2.945385e+000
1.898169434998953e+001	2.949625e+000
1.907935059998953e+001	2.953279e+000
1.917700684998953e+001	2.956428e+000
1.927466309998953e+001	2.959142e+000
1.937231934998953e+001	2.961481e+000
1.946997559998953e+001	2.963497e+000
1.956763184998953e+001	2.965234e+000
1.966528809998953e+001	2.966732e+000
1.976294434998953e+001	2.968022e+000
1.986060059998953e+001	2.969134e+000
1.995825684998953e+001	2.970093e+000
2.005591309998953e+001	2.970919e+000
2.015356934998953e+001	2.971631e+000
2.025122559998953e+001	2.972245e+000
2.034888184998953e+001	2.972773e+000
2.044653809998953e+001	2.973229e+000
2.054419434998953e+001	2.973622e+000
2.064185059998953e+001	2.973960e+000
2.073950684998953e+001	2.974252e+000
2.083716309998953e+001	2.974504e+000
2.093481934998953e+001	2.974720e+000
2.103247559998953e+001	2.974907e+000
2.113013184998953e+001	2.975068e+000
2.122778809998953e+001	2.975207e+000
2.132544434998953e+001	2.975327e+000
2.142310059998953e+001	2.975430e+000
2.152075684998953e+001	2.975518e+000
2.161841309998953e+001	2.975595e+000
2.171606934998953e+001	2.975661e+000
2.181372559998953e+001	2.975718e+000
2.191138184998953e+001	2.975767e+000
2.200903809998953e+001	2.975809e+000
2.220435059998953e+001	2.975877e+000
2.239966309998953e+001	2.975927e+000
2.259497559998953e+001	2.975965e+000
2.288794434998953e+001	2.976003e+000
2.318091309998953e+001	2.976028e+000
2.341807827856096e+001	2.976040e+000
2.365524345713239e+001	2.976049e+000
2.389240863570382e+001	2.976057e+000
2.412957381427525e+001	2.976063e+000
2.436673899284667e+001	2.976067e+000
2.460390417141811e+001	2.976069e+000
2.484106934998953e+001	2.976069e+000
2.500000000000000e+001	2.976070e+000
2.500008000000000e+001	2.975323e+000
2.500024000000000e+001	2.972619e+000
2.500048000000000e+001	2.965050e+000
2.500080000000000e+001	2.950597e+000
2.500194285714285e+001	2.881459e+000
2.500308571428571e+001	2.812434e+000
2.500422857142857e+001	2.743522e+000
2.500537142857143e+001	2.674723e+000
2.500651428571429e+001	2.606037e+000
2.500765714285715e+001	2.537464e+000
2.500880000000000e+001	2.469003e+000
2.500902080000001e+001	2.458943e+000
2.500931520000001e+001	2.450678e+000
2.500960000000000e+001	2.446601e+000
2.506811347857097e+001	2.490308e+000
2.512662695714194e+001	2.531067e+000
2.518514043571292e+001	2.568876e+000
2.524365391428389e+001	2.603737e+000
2.530216739285486e+001	2.635649e+000
2.536068087142583e+001	2.664612e+000
2.541919434999680e+001	2.690626e+000
2.551685059999680e+001	2.730062e+000
2.561450684999680e+001	2.764050e+000
2.571216309999680e+001	2.793342e+000
2.580981934999680e+001	2.818588e+000
2.590747559999680e+001	2.840345e+000
2.600513184999680e+001	2.859097e+000
2.610278809999680e+001	2.875257e+000
2.620044434999680e+001	2.889186e+000
2.629810059999680e+001	2.901190e+000
2.639575684999680e+001	2.911535e+000
2.649341309999680e+001	2.920451e+000
2.659106934999680e+001	2.928136e+000
2.668872559999680e+001	2.934758e+000
2.678638184999680e+001	2.940466e+000
2.688403809999680e+001	2.945385e+000
2.698169434999680e+001	2.949625e+000
2.707935059999680e+001	2.953279e+000
2.717700684999680e+001	2.956428e+000
2.727466309999680e+001	2.959142e+000
2.737231934999680e+001	2.961481e+000
2.746997559999680e+001	2.963497e+000
2.756763184999680e+001	2.965234e+000
2.766528809999680e+001	2.966732e+000
2.776294434999680e+001	2.968022e+000
2.786060059999680e+001	2.969134e+000
2.795825684999680e+001	2.970093e+000
2.805591309999680e+001	2.970919e+000
2.815356934999680e+001	2.971631e+000
2.825122559999680e+001	2.972245e+000
2.834888184999680e+001	2.972773e+000
2.844653809999680e+001	2.973229e+000
2.854419434999680e+001	2.973622e+000
2.864185059999680e+001	2.973960e+000
2.873950684999680e+001	2.974252e+000
2.883716309999680e+001	2.974504e+000
2.893481934999680e+001	2.974720e+000
2.903247559999680e+001	2.974907e+000
2.913013184999680e+001	2.975068e+000
2.922778809999680e+001	2.975207e+000
2.932544434999680e+001	2.975327e+000
2.942310059999680e+001	2.975430e+000
2.952075684999680e+001	2.975518e+000
2.961841309999680e+001	2.975595e+000
2.971606934999680e+001	2.975661e+000
2.981372559999680e+001	2.975718e+000
2.991138184999680e+001	2.975767e+000
3.000903809999680e+001	2.975809e+000
3.020435059999680e+001	2.975877e+000
3.039966309999680e+001	2.975927e+000
3.059497559999680e+001	2.975965e+000
3.088794434999680e+001	2.976003e+000
3.118091309999680e+001	2.976028e+000
3.141807827856823e+001	2.976040e+000
3.165524345713966e+001	2.976049e+000
3.189240863571109e+001	2.976057e+000
3.212957381428252e+001	2.976063e+000
